nohup: ignoring input
Experiment 4: adapt to gravity×1 on HalfCheetah-v5, 25 total runs, adapt_steps=100000, partition 5/6, device=cuda
[  94000 / 100000]  ep  94  reward(norm): 1909.065  reward(raw):  1909.1  len: 1000  time: 25.92s
[  95000 / 100000]  ep  95  reward(norm): 1949.310  reward(raw):  1949.3  len: 1000  time: 25.87s
[  96000 / 100000]  ep  96  reward(norm): 1864.874  reward(raw):  1864.9  len: 1000  time: 27.04s
[  97000 / 100000]  ep  97  reward(norm): 1872.798  reward(raw):  1872.8  len: 1000  time: 24.94s
[  98000 / 100000]  ep  98  reward(norm): 1935.974  reward(raw):  1936.0  len: 1000  time: 24.04s
[  99000 / 100000]  ep  99  reward(norm): 1914.459  reward(raw):  1914.5  len: 1000  time: 27.45s
[ 100000 / 100000]  ep 100  reward(norm): 1901.037  reward(raw):  1901.0  len: 1000  time: 23.19s
[12/25] gaussian_HalfCheetah-v5_seed2_gravityx1_wmfrozen
[   1000 / 100000]  ep   1  reward(norm): -171.974  reward(raw): -172.0  len: 1000  time: 0.16s
[   2000 / 100000]  ep   2  reward(norm): -449.419  reward(raw): -449.4  len: 1000  time: 0.15s
[   3000 / 100000]  ep   3  reward(norm): -172.504  reward(raw): -172.5  len: 1000  time: 0.16s
[   4000 / 100000]  ep   4  reward(norm): -311.052  reward(raw): -311.1  len: 1000  time: 0.15s
[   5000 / 100000]  ep   5  reward(norm): -374.249  reward(raw): -374.2  len: 1000  time: 0.15s
[   6000 / 100000]  ep   6  reward(norm): 42.183  reward(raw): 42.2  len: 1000  time: 4.41s
[   7000 / 100000]  ep   7  reward(norm): 109.221  reward(raw): 109.2  len: 1000  time: 4.45s
[   8000 / 100000]  ep   8  reward(norm): 145.719  reward(raw): 145.7  len: 1000  time: 5.14s
[   9000 / 100000]  ep   9  reward(norm): -17.397  reward(raw): -17.4  len: 1000  time: 4.80s
[  10000 / 100000]  ep  10  reward(norm): 223.062  reward(raw): 223.1  len: 1000  time: 3.39s
[  11000 / 100000]  ep  11  reward(norm): -21.126  reward(raw): -21.1  len: 1000  time: 3.63s
[  12000 / 100000]  ep  12  reward(norm): 157.522  reward(raw): 157.5  len: 1000  time: 3.53s
[  13000 / 100000]  ep  13  reward(norm): -487.686  reward(raw): -487.7  len: 1000  time: 4.58s
[  14000 / 100000]  ep  14  reward(norm): -362.529  reward(raw): -362.5  len: 1000  time: 5.17s
[  15000 / 100000]  ep  15  reward(norm): -40.669  reward(raw): -40.7  len: 1000  time: 4.89s
[  16000 / 100000]  ep  16  reward(norm): 51.455  reward(raw): 51.5  len: 1000  time: 4.55s
[  17000 / 100000]  ep  17  reward(norm): -268.482  reward(raw): -268.5  len: 1000  time: 5.24s
[  18000 / 100000]  ep  18  reward(norm): -233.356  reward(raw): -233.4  len: 1000  time: 4.64s
[  19000 / 100000]  ep  19  reward(norm): -402.993  reward(raw): -403.0  len: 1000  time: 4.58s
[  20000 / 100000]  ep  20  reward(norm): 122.525  reward(raw): 122.5  len: 1000  time: 5.17s
[  21000 / 100000]  ep  21  reward(norm): -171.728  reward(raw): -171.7  len: 1000  time: 5.07s
[  22000 / 100000]  ep  22  reward(norm): -238.134  reward(raw): -238.1  len: 1000  time: 4.42s
[  23000 / 100000]  ep  23  reward(norm): -123.706  reward(raw): -123.7  len: 1000  time: 3.95s
[  24000 / 100000]  ep  24  reward(norm): -107.972  reward(raw): -108.0  len: 1000  time: 4.17s
[  25000 / 100000]  ep  25  reward(norm): 72.175  reward(raw): 72.2  len: 1000  time: 3.91s
[  26000 / 100000]  ep  26  reward(norm): 19.469  reward(raw): 19.5  len: 1000  time: 4.06s
[  27000 / 100000]  ep  27  reward(norm): 26.506  reward(raw): 26.5  len: 1000  time: 4.60s
